Project Name,contract,logo_link,Group,M1,M3,M2,Holder_1,Seller_1,Buyer_1,n_holder,Holder,Seller,Buyer
Kaiju Kingz,0x0c2e57efddba8c768147d1fdf9176a0a6ebd5d83,https://lh3.googleusercontent.com/bQvXzE_Pn8SwA-xqlfhFKDRi_0QZn9uXDYkQ-E7-C-B6KXkg4-GkQuBOjanhLBqURzkdkEL7XbFrUz6ICD1l02TgN_2IB4HtHpAL=s130,3,0.296490793,0.489,0.287,0.960793923,0.021318304,0.017887773,10,0.379206567,0.151039616,0.469753817
Karafuru,0xd2f668a8461d6761115daf8aeb3cdf5f40c532c6,https://lh3.googleusercontent.com/VMG3VFncJG-pyqsRAwQznZGqYDw4RkPjJnJNJwrDERFhD4pWLh82q66JJ8Qh0vCPoovjoyigJwLqfFpa5tMAVV5ASIiR5nF1XkQFpec=s120,1,0.289824201,0.95,0.541,0.715425532,0.216755319,0.067819149,84,0.256884907,0.272876148,0.470238945
Lazy Lions,0x8943c7bac1914c9a7aba750bf2b6b09fd21037e0,https://lh3.googleusercontent.com/kFZpw-bkoyH03qFbfqkwkkhHVxT7qclK_tYFmhU1K2HegU3v2wSMmhL6TIgw7Stx1KIoKs1sdJQ4My71ktXV7GygPBjaQZCACERt=s130,3,0.354376299,0.415,0.173,0.938438153,0.029260878,0.032300969,63,0.326093582,0.014091574,0.659814844
Lives of Asuna,0xaf615b61448691fc3e4c61ae4f015d6e77b6cca8,https://lh3.googleusercontent.com/8JqiF7Kar1LRGnh4j6o2niMjrkqaK-XOr1h7MPkiYbjP0vaOIMzLnOp50Q_xKnrDNEScmnbii4IRjrGIXKUfjKI7iM7VdxGeX_cy=s120,1,0.359969693,0.983,0.886,0.934449489,0.009648127,0.055902384,69,0.654241299,0.039130151,0.30662855
MekaVerse,0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,https://lh3.googleusercontent.com/6CS0frnjPEpvJ8hE3OG6_TbJFEC5YYThnZMdLTTmW-Z91lyYAJkPA7-ou2uE-b_J-cBUBeqWkI4HYKHEiu2PAyCT6wkYKzoeCyuy=s130,3,0,0.744,0.407,0.985611511,0.007976228,0.006412261,60,0.21740636,0.44664054,0.3359531
mfers,0x79fcdef22feed20eddacbb2587640e45491b757f,https://lh3.googleusercontent.com/J2iIgy5_gmA8IS6sXGKGZeFVZwhldQylk7w7fLepTE9S7ICPCn_dlo8kypX8Ju0N6wvLVOKsbP_7bNGd8cpKmWhFQmqMXOC8q2sOdqw=s120,5,0.677544437,0.713,0.891,0.874401277,0.069185737,0.056412986,90,0.023850966,0.426281348,0.549867686
Monaco Planet Yacht,0x21bf3da0cf0f28da27169239102e26d3d46956e5,https://lh3.googleusercontent.com/vJk7zt1ljD3bxJgwq4GLhuJmb9ewauGna8hC6NGJATzIE9aTtdYV57j7hgOV88F0KP1Dtuw8Z3ynFcldJOsr5gmFeRp7ja9ez3UJpw=s120,5,0.661191912,0.814,0.534,0.948961721,0.031273455,0.019764824,66,0.052290651,0.397861916,0.549847433
Moonbirds Oddities,0x1792a96e5668ad7c167ab804a100ce42395ce54d,https://lh3.googleusercontent.com/M3yJrT9TRLmE8sZb8TjyAbDJYBCoCWFFXGXd61G7d5pDESUPfGVocjmg4V9JlyGCr9ENri36cisKdagm6h86548W5hmCva2kQ2rC_Q=s120,2,0.446276445,0.235,0.673,0.982666247,0.011976048,0.005357706,2,0.052693935,0.577392247,0.369913818
Murakami.Flowers Official,0x7d8820fa92eb1584636f4f5b8515b5476b75171a,https://lh3.googleusercontent.com/8g0poMCQ5J9SZHMsBrefrXbwzFmOQ-333l5OtbqqPW8TSGO9Stm2Rhd7kwHKsKIZPLxDjzISeeDTZ1H35t7GswPRoIfzTnNPsLs7rxw=s120,2,0.322276604,0.048,0.433,0.838882922,0.1084855,0.052631579,90,0.426509922,0.472312392,0.101177686
Murakami.Flowers Seed,0x341a1c534248966c4b6afad165b98daed4b964ef,https://lh3.googleusercontent.com/8g0poMCQ5J9SZHMsBrefrXbwzFmOQ-333l5OtbqqPW8TSGO9Stm2Rhd7kwHKsKIZPLxDjzISeeDTZ1H35t7GswPRoIfzTnNPsLs7rxw=s120,4,0.709695424,0.747,0.598,0.953259719,0.029950083,0.016790198,12,0.365666299,0.255194069,0.379139632
